fips,state,county,total_population,nonwhite_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,college_pct
02275,Alaska,Wrangell,2088,43.582375478927204,50.47892720306513,32.61494252873563,27.39463601532567,63750,4.3329532497149374,21.382428940568477
02282,Alaska,Yakutat,527,75.14231499051233,38.33017077798861,26.755218216318784,26.755218216318784,85000,0.9036144578313253,14.352941176470587
02290,Alaska,Yukon-Koyukuk,5195,78.40230991337825,46.0827718960539,39.69201154956689,17.3051010587103,55741,5.386064030131827,15.965417867435159
04001,Arizona,Apache,65341,81.20016528672656,50.694051208276576,41.25587303530708,16.840880917035246,41438,10.685436251121924,16.56434474616293
04003,Arizona,Cochise,125566,45.93679817785069,49.21236640491853,34.315817976203746,24.81882038131341,59742,7.403946222628125,28.094856200850987
04005,Arizona,Coconino,144508,47.83748996595344,50.65463503750657,46.206438397874166,14.504387300357074,72966,5.646762165352219,40.34083178375437
04007,Arizona,Gila,53795,38.57607584347987,49.89683056046101,29.664466957895716,30.896923505902034,61986,7.053843226788432,18.732359494924484
04009,Arizona,Graham,39232,47.2598898858075,46.6838295269168,42.88590946166395,14.495819738988581,67325,7.700885942630568,14.578957796710917
04011,Arizona,Greenlee,9409,54.947390796046335,45.32894037623552,38.03804867679881,14.12477415240727,71164,2.3330058939096268,20.86601819893317
04012,Arizona,La Paz,16664,42.74483917426788,48.61377820451272,24.42390782525204,43.140902544407105,49478,10.038923126824521,13.458389161828196
04013,Arizona,Maricopa,4559748,47.51411700822062,50.26003630025168,39.01908614247981,16.29068097622939,89300,4.542004853626377,36.680293780448245
04015,Arizona,Mohave,220517,25.050676365087497,49.45831840629067,26.583891491358944,32.621521243260155,57684,7.251035862266038,15.21983758700696
04017,Arizona,Navajo,108415,57.290965272333175,49.70622146381958,38.689295761656595,20.12913342249689,54606,8.849948078920042,19.1045556488119
04019,Arizona,Pima,1060490,49.53512055747815,50.56464464539977,37.894841064036434,21.593037180925798,70315,5.502118424307223,36.794203907075115
04021,Arizona,Pinal,469006,45.062749730280636,48.24884969488663,35.63110066822173,21.542581544799,80266,5.960806594601478,22.467424552614464
04023,Arizona,Santa Cruz,48926,84.73613211789232,51.739361484691166,40.88214855087275,19.267873932060663,55217,12.176952083141726,23.142183817753338
04025,Arizona,Yavapai,245480,22.568844712400193,50.77236434740101,26.179729509532343,34.137200586605836,69613,4.27798098024872,30.25407885349456
04027,Arizona,Yuma,211741,71.02639545482452,48.43983923755909,41.83932256860977,20.671008449001373,62876,6.927103342297349,16.77879596334532
05001,Arkansas,Arkansas,16515,32.87920072661217,51.504692703602785,36.63336360884045,20.127157129881926,53164,8.13879321342008,13.56154789003677
